commodity_code,description,duty_pct
03054920,Gedroogde/gezouten vis,16.0
03054930,Gedroogde/gezouten vis,14.0
03054980,Gedroogde/gezouten vis,14.0
03055110,Gedroogde/gezouten vis,13.0
03055190,Gedroogde/gezouten vis,13.0
03055200,Gedroogde/gezouten vis,12.0
03055310,Gedroogde/gezouten vis,13.0
03055390,Gedroogde/gezouten vis,12.0
03055430,Gedroogde/gezouten vis,12.0
03055450,Gedroogde/gezouten vis,10.0
03055490,Gedroogde/gezouten vis,12.0
03055970,Gedroogde/gezouten vis,15.0
03055985,Gedroogde/gezouten vis,12.0
03056100,Gedroogde/gezouten vis,12.0
03056200,Gedroogde/gezouten vis,13.0
03056300,Gedroogde/gezouten vis,10.0
03056400,Gedroogde/gezouten vis,12.0
03056910,Gedroogde/gezouten vis,13.0
03056930,Gedroogde/gezouten vis,15.0
03056950,Gedroogde/gezouten vis,11.0
03056980,Gedroogde/gezouten vis,12.0
03057115,Gedroogde/gezouten vis,12.0
03057130,Gedroogde/gezouten vis,12.0
03057140,Gedroogde/gezouten vis,12.0
03057150,Gedroogde/gezouten vis,12.0
03057190,Gedroogde/gezouten vis,12.0
03057200,Gedroogde/gezouten vis,13.0
03057900,Gedroogde/gezouten vis,13.0
03061110,Schaaldieren,12.5
03061190,Schaaldieren,12.5
03061210,Schaaldieren,6.0
03061290,Schaaldieren,16.0
03061410,Schaaldieren,7.5
03061430,Schaaldieren,7.5
03061490,Schaaldieren,7.5
03061500,Schaaldieren,12.0
03061691,Schaaldieren,18.0
03061699,Schaaldieren,12.0
03061791,Schaaldieren,12.0
03061792,Schaaldieren,12.0
03061793,Schaaldieren,12.0
03061794,Schaaldieren,12.0
03061799,Schaaldieren,12.0
03061910,Schaaldieren,7.5
03061990,Schaaldieren,12.0
03063100,Schaaldieren,12.5
03063210,Schaaldieren,8.0
03063291,Schaaldieren,8.0
03063299,Schaaldieren,10.0
03063310,Schaaldieren,7.5
03063390,Schaaldieren,7.5
03063400,Schaaldieren,12.0
03063510,Schaaldieren,18.0
03063550,Schaaldieren,18.0
03063590,Schaaldieren,12.0
03063610,Schaaldieren,12.0
03063650,Schaaldieren,18.0
03063690,Schaaldieren,12.0
03063910,Schaaldieren,7.5
03063990,Schaaldieren,12.0
03069100,Schaaldieren,12.5
03069210,Schaaldieren,8.0
03069290,Schaaldieren,10.0
03069310,Schaaldieren,7.5
03069390,Schaaldieren,7.5
03069400,Schaaldieren,12.0
03069511,Schaaldieren,18.0
03069519,Schaaldieren,18.0
03069520,Schaaldieren,12.0
03069530,Schaaldieren,12.0
03069540,Schaaldieren,18.0
03069590,Schaaldieren,12.0
03069910,Schaaldieren,7.5
03069990,Schaaldieren,12.0
03071110,Weekdieren,0.0
03071190,Weekdieren,9.0
03071200,Weekdieren,9.0
03071900,Weekdieren,9.0
03072110,Weekdieren,8.0
03072190,Weekdieren,11.0
03072210,Weekdieren,8.0
03072290,Weekdieren,8.0
03072295,Weekdieren,11.0
03072910,Weekdieren,8.0
03072990,Weekdieren,11.0
03073110,Weekdieren,10.0
03073190,Weekdieren,8.0
03073210,Weekdieren,10.0
03073290,Weekdieren,8.0
03073920,Weekdieren,10.0
03073980,Weekdieren,8.0
03074210,Weekdieren,8.0
03074220,Weekdieren,6.0
03074230,Weekdieren,8.0
03074240,Weekdieren,6.0
03074290,Weekdieren,11.0
03074321,Weekdieren,6.0
03074325,Weekdieren,8.0
03074329,Weekdieren,8.0
03074331,Weekdieren,6.0
03074333,Weekdieren,6.0
03074335,Weekdieren,6.0
03074338,Weekdieren,6.0
03074391,Weekdieren,8.0
03074392,Weekdieren,8.0
03074395,Weekdieren,6.0
03074399,Weekdieren,11.0
03074920,Weekdieren,8.0
03074940,Weekdieren,6.0
03074950,Weekdieren,8.0
03074960,Weekdieren,6.0
03074980,Weekdieren,11.0
03075100,Weekdieren,8.0
03075200,Weekdieren,8.0
